Time;WBHP;WOPR;WWPR;WGPR
612;255;536.1;14;0.312
613;255;536.2;13.3;0.311
614;253;537;12.1;0.313
615;253;535.5;12.1;0.312
616;257;535.1;12.7;0.310
617;252;533.1;12.5;0.309
618;253;532.2;13.2;0.311
619;253;531.4;13.6;0.311
620;251;530.1;13.8;0.309
621;251;529;13.8;0.310
622;252;530.2;13.5;0.311
623;251;528.2;13;0.311
624;247;527.9;14.8;0.314
625;246;526.1;14;0.317
626;245;523.2;14.7;0.315
627;246;523.8;14.6;0.315
628;245;524.2;15;0.317
629;244;523;14.9;0.316
630;244;523.3;15;0.318
631;244;525.2;12.7;0.315
632;244;525.1;13;0.315
633;244;524.2;13.2;0.317
634;244;526.4;13.4;0.313
635;244;524.2;14.1;0.314
636;244;523.1;14.8;0.316
637;243;523.8;13.1;0.314
638;244;523.6;13.3;0.312
639;242;521;13;0.316
640;241;519.3;14.1;0.311
641;241;519.2;14.1;0.323
642;239;520.1;13.7;0.328
643;243;520.4;14;0.326
644;245;519.1;14.1;0.324
645;246;518.9;14.2;0.323
646;245;517.1;13.3;0.323
647;241;513.9;13.9;0.324
648;243;514.7;13;0.322
649;246;514.6;13.9;0.324
650;245;513.5;13.6;0.322
651;242;512.8;13.1;0.324
652;243;512;13.2;0.327
653;244;510.2;14;0.329
654;243;509.1;14;0.327
655;242;508.2;14.3;0.329
656;242;508.1;13.7;0.327
657;243;508.6;14.1;0.329
658;242;507.3;14.5;0.326
659;243;508.1;14.7;0.323
660;244;507.4;14.6;0.322
661;243;506;15;0.324
662;244;507.1;15.3;0.319
663;242;505.1;14.1;0.319
664;241;504;14.8;0.321
665;240;503.3;14;0.318
666;240;502.3;13.5;0.317
667;239;500.4;13;0.313
668;239;503;12.5;0.313
669;239;500.1;13.7;0.313
670;239;501.6;13;0.313
671;239;501.9;13.3;0.314
672;239;503.3;12.8;0.314
673;239;502.1;14.5;0.309
674;239;502.9;13.5;0.311
675;239;501.5;13.2;0.314
676;238;501;13.1;0.317
677;238;502.2;12.7;0.319
678;238;501.3;12.8;0.320
679;238;501.9;12.4;0.319
680;238;500.5;13.1;0.320
681;238;500.9;12.7;0.319
682;238;501.7;12.7;0.315
683;238;500.3;12.1;0.319
684;239;501.6;12.2;0.316
685;239;502.4;12.5;0.314
686;239;501.2;13.1;0.315
687;240;501.3;12.4;0.313
688;239;500.2;12.5;0.314
689;241;503.1;11.5;0.311
690;241;503.1;11.5;0.311
