Date,Time,WOPR
2017-03-26,634,526.4
2017-03-27,635,524.2
2017-03-28,636,523.1
2017-03-29,637,523.8
2017-03-30,638,523.6
2017-03-31,639,521
2017-04-01,640,519.3
2017-04-02,641,519.2
2017-04-03,642,520.1
2017-04-04,643,520.4
2017-04-05,644,519.1
2017-04-06,645,518.9
2017-04-07,646,517.1
2017-04-08,647,513.9
2017-04-09,648,514.7
2017-04-10,649,514.6
2017-04-11,650,513.5
2017-04-12,651,512.8
2017-04-13,652,512
2017-04-14,653,510.2
2017-04-15,654,509.1
2017-04-16,655,508.2
2017-04-17,656,508.1
2017-04-18,657,508.6
2017-04-19,658,507.3
2017-04-20,659,508.1
2017-04-21,660,507.4
2017-04-22,661,506
2017-04-23,662,507.1
2017-04-24,663,505.1
2017-04-25,664,504
2017-04-26,665,503.3
2017-04-27,666,502.3
2017-04-28,667,500.4
2017-04-29,668,503
2017-04-30,669,500.1
2017-05-01,670,501.6
2017-05-02,671,501.9
2017-05-03,672,503.3
2017-05-04,673,502.1
2017-05-05,674,502.9
2017-05-06,675,501.5
2017-05-07,676,501
2017-05-08,677,502.2
2017-05-09,678,501.3
2017-05-10,679,501.9
2017-05-11,680,500.5
2017-05-12,681,500.9
2017-05-13,682,501.7
2017-05-14,683,500.3
2017-05-15,684,501.6
2017-05-16,685,502.4
2017-05-17,686,501.2
2017-05-18,687,501.3
2017-05-19,688,500.2
2017-05-20,689,503.1
2017-05-21,690,503.1
